SITE_ID,TIMESERIES_ID,START_DATETIME,END_DATETIME,CORRECTION_FACTOR,DESCRIPTION,CORRECTION_ID
LULLN,PRECIPITATION_RAW,2016-05-10 10:30:00,2016-05-11 12:30:00,0.16667,Error in logger programme. Precipitation x6.,SCALAR
WRTTL,WD_RAW,2017-06-04 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
GLENW,G1_RAW,2016-06-15 15:00:00,2016-06-16 00:00:00,0.24614,Heat flux plate correction,SCALAR
GLENW,G1_RAW,2016-06-20 15:30:00,2016-06-21 00:00:00,0.24614,Heat flux plate correction,SCALAR
GLENW,G1_RAW,2018-06-28 09:30:00,2018-06-29 00:00:00,0.24614,Heat flux plate correction,SCALAR
GLENW,G1_RAW,2018-11-14 11:30:00,2018-11-14 12:00:00,0.24614,Heat flux plate correction,SCALAR
GLENW,G1_RAW,2018-11-14 13:30:00,2018-11-15 00:00:00,0.26804,Heat flux plate correction,SCALAR
GLENW,G1_RAW,2019-08-22 11:30:00,2019-08-23 00:00:00,0.26804,Heat flux plate correction,SCALAR
GLENW,G2_RAW,2016-06-15 15:00:00,2016-06-16 00:00:00,0.26073,Heat flux plate correction,SCALAR
GLENW,G2_RAW,2016-06-20 15:30:00,2016-06-21 00:00:00,0.26073,Heat flux plate correction,SCALAR
GLENW,G2_RAW,2018-06-28 09:30:00,2018-06-29 00:00:00,0.26073,Heat flux plate correction,SCALAR
GLENW,G2_RAW,2018-11-14 11:30:00,2018-11-14 12:00:00,0.26073,Heat flux plate correction,SCALAR
GLENW,G2_RAW,2018-11-14 13:30:00,2018-11-15 00:00:00,0.26073,Heat flux plate correction,SCALAR
GLENW,G2_RAW,2019-08-22 11:30:00,2019-08-23 00:00:00,0.26073,Heat flux plate correction,SCALAR
CHIMN,WD_RAW,2020-02-12 14:30:00,,,Wind direction orientation calculated incorrectly in program since upgrade,WD
COCHN,WD_RAW,2017-08-23 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
FIVET,WD_RAW,2018-06-26 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
HLACY,WD_RAW,2018-04-11 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
HYBRY,WD_RAW,2017-08-16 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
MOREM,WD_RAW,2018-11-15 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
SHEEP,WD_RAW,2020-02-11 15:30:00,,,Wind direction orientation calculated incorrectly in program since upgrade,WD
SYDLG,WD_RAW,2018-11-27 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
WADDN,WD_RAW,2020-02-13 15:30:00,,,Wind direction orientation calculated incorrectly in program since upgrade,WD
WIMPL,WD_RAW,2019-09-10 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
PLYNL,SWIN_RAW,2019-11-15 09:00:00,2020-10-29 17:30:00,0.9541,Short wave radiation correction,SCALAR
PLYNL,SWOUT_RAW,2019-11-15 09:00:00,2020-10-29 17:30:00,0.8934,Short wave radiation correction,SCALAR
PLYNL,LWIN_RAW,2019-11-15 09:00:00,2020-10-29 17:30:00,1.0954,Long wave radiation correction,LW_CORR
PLYNL,LWOUT_RAW,2019-11-15 09:00:00,2020-10-29 17:30:00,0.9863,Long wave radiation correction,LW_CORR
WADDN,CTS_MOD_RAW,2021-06-03 10:00:00,,0.58555,CRS2000 set to be primary CRS. Permantent correction requires to match previous CRS1000,SCALAR
HOLLN,PA_RAW,2021-05-20 10:30:00,2021-09-01 00:00:00,-0.6,Pressure correction from MSLP bias,PA_CORR
HOLLN,PA_RAW,2021-09-01 00:30:00,2021-10-01 00:00:00,-1.3,Pressure correction from MSLP bias,PA_CORR
HOLLN,PA_RAW,2021-10-01 00:30:00,2021-11-01 00:00:00,-2.5,Pressure correction from MSLP bias,PA_CORR
HOLLN,PA_RAW,2021-11-01 00:30:00,2021-12-01 00:00:00,-3.2,Pressure correction from MSLP bias,PA_CORR
HOLLN,PA_RAW,2021-12-01 00:30:00,2022-01-01 00:00:00,-4.7,Pressure correction from MSLP bias,PA_CORR
HOLLN,PA_RAW,2022-01-01 00:30:00,2022-02-01 00:00:00,-5.1,Pressure correction from MSLP bias,PA_CORR
HOLLN,PA_RAW,2022-02-01 00:30:00,2022-03-01 00:00:00,-4.4,Pressure correction from MSLP bias,PA_CORR
HOLLN,PA_RAW,2022-03-01 00:30:00,2022-04-01 00:00:00,-3.7,Pressure correction from MSLP bias,PA_CORR
HOLLN,PA_RAW,2022-04-01 00:30:00,2022-05-03 14:00:00,-2.8,Pressure correction from MSLP bias,PA_CORR
FINCH,WD_RAW,2017-06-07 11:30:00,,,Wind direction orientation calculated incorrectly in program,WD
CHOBH,PRECIPITATION_RAW,2016-05-10 13:30:00,2016-05-11 12:30:00,0.16667,Precip x6 too large,SCALAR
CHIMN,CTS_MOD_RAW,2019-12-17 12:00:00,2020-01-22 13:00:00,1.00776,Counts from replacement CRS. correction factor from cross calibration,SCALAR
COCLP,CTS_MOD_RAW,2017-11-16 13:00:00,2018-01-31 10:00:00,0.99404,Counts from replacement CRS. correction factor from cross calibration,SCALAR
HENFS,CTS_MOD_RAW,2017-12-19 11:00:00,2018-06-28 13:00:00,1.03104,Counts from replacement CRS. correction factor from cross calibration,SCALAR
SHEEP,CTS_MOD_RAW,2016-04-04 15:00:00,2016-08-24 08:30:00,1.02015,Counts from replacement CRS. correction factor from cross calibration,SCALAR
ELMST,LWIN_RAW,2021-07-14 13:00:00,2021-07-21 07:00:00,1.00146,Long wave radiation correction,LW_CORR
ALIC1,PRECIPITATION_RAW,2015-03-06 00:00:00,,0.616,Correction for funnel size,SCALAR
GISBN,SWIN_RAW,2016-10-06 12:00:00,2016-11-18 13:00:00,1.11895,Correction for incorrect calibration file loaded by CSL on PPM,SCALAR
PORTN,SWIN_RAW,2020-01-28 11:30:00,2020-03-04 11:30:00,0.96768,Short wave radiation correction,SCALAR
HARWD,PRECIPITATION_RAW,2015-05-22 12:00:00,,0.616,Correction for funnel size,SCALAR
WYTH1,PRECIPITATION_RAW,2013-11-26 00:30:00,2016-10-01 00:00:00,0.616,Correction for funnel size,SCALAR
SPENF,SWIN_RAW,2020-07-15 14:00:00,2020-07-17 12:00:00,0.99245,Short wave radiation correction,SCALAR
SPENF,SWOUT_RAW,2020-07-15 14:00:00,2020-07-17 12:00:00,1.03832,Short wave radiation correction,SCALAR
SPENF,LWOUT_RAW,2020-07-15 14:00:00,2020-07-17 12:00:00,0.84191,Long wave radiation correction,LW_CORR
