Location Name,PlacingStartDate,PlacingEndDate,Manufacturer,Model,Version,SerialNumber,Comment,PPM
Wallingford,14-May-24,08-Aug-24,Vaisala,PTB110,,T4710742,PPM,TRUE
Holme Lacy,14-May-24,,Lambrecht,rainE,,881821.0016,PPM,TRUE
Wallingford,14-May-24,01-Sep-24,Lambrecht,rainE,,881821.0049,PPM,TRUE
Campbell Sci Ltd,14-May-24,27-Aug-24,Gill,Windmaster,3D Sonic Anemometer,140313,,FALSE
Campbell Sci Ltd,14-May-24,,Hukseflux,NR01,,2459,,TRUE
Stiperstones,15-May-24,,Campbell Scientific Ltd,CR3000,,9087,PPM,TRUE
Stiperstones,15-May-24,22-Aug-24,Gill,Windmaster,3D Sonic Anemometer,140401,PPM,TRUE
Wallingford,15-May-24,30-May-24,Gill,Windmaster,3D Sonic Anemometer,140316,PPM,TRUE
Stiperstones,15-May-24,,Mobotix,S14D,,10.12.150.105,PPM,TRUE
Wallingford,15-May-24,01-Sep-24,Mobotix,S14D,,10.12.77.172,PPM,TRUE
Stiperstones,15-May-24,,Vaisala,HMP155,A,M2920118,PPM,TRUE
Wallingford,15-May-24,02-Aug-23,Vaisala,HMP155,E,T4731074,PPM,TRUE
Wallingford,16-May-24,,OTT,Pluvio2,,340991,,FALSE
Bickley Hall,16-May-24,09-Sep-09,Campbell Scientific Ltd,CR3000,,9896,PPM,TRUE
Wallingford,16-May-24,18-Jul-24,Campbell Scientific Ltd,CR3000,,9024,PPM,TRUE
Bickley Hall,16-May-24,,Gill,Windmaster,3D Sonic Anemometer,144207,PPM,TRUE
Wallingford,16-May-24,03-Sep-24,Gill,Windmaster,3D Sonic Anemometer,140322,PPM,TRUE
Bickley Hall,16-May-24,,Vaisala,HMP155,E,T4741133,PPM,TRUE
Wallingford,16-May-24,16-Jul-24,Vaisala,HMP155,E,V1051035,PPM,TRUE
Bickley Hall,16-May-24,,Lambrecht,rainE,,881821.0045,PPM,TRUE
Wallingford,16-May-24,01-Sep-24,Lambrecht,rainE,,881821.0038,PPM,TRUE
Sydling,21-May-24,,Vaisala,HMP155,E,V1051033,,TRUE
Campbell Sci Ltd,21-May-24,28-Aug-24,Vaisala,HMP155,E,T4721224,,TRUE
Sydling,21-May-24,,Campbell Scientific Ltd,CR3000,,9866,,TRUE
Campbell Sci Ltd,21-May-24,13-Aug-24,Campbell Scientific Ltd,CR3000,,9764,,TRUE
Sydling,21-May-24,,Hukseflux,NR01,,2154,,TRUE
Campbell Sci Ltd,21-May-24,,Hukseflux,NR01,,2125,,TRUE
Sydling,21-May-24,,Gill,Windmaster,3D Sonic Anemometer,140403,,TRUE
Campbell Sci Ltd,21-May-24,,Gill,Windmaster,3D Sonic Anemometer,180903,,TRUE
Sydling,21-May-24,,Vaisala,PTB110,,R1030765,,TRUE
Campbell Sci Ltd,21-May-24,,Vaisala,PTB110,,T4650719,,TRUE
Sydling,21-May-24,,Lambrecht,rainE,,881821.0024,,TRUE
Campbell Sci Ltd,21-May-24,,Lambrecht,rainE,,881821.0011,,TRUE
Campbell Sci Ltd,21-May-24,,Campbell Scientific Ltd,NL115,,14166,,TRUE
Campbell Sci Ltd,22-May-24,27-May-24,Vaisala,HMP155,E,T4750898,,TRUE
Heytesbury,22-May-24,,Vaisala,HMP155,A,P4020596,,TRUE
Moor House,28-May-24,,Campbell Scientific Ltd,CR3000,,10258,PPM,TRUE
Campbell Sci Ltd,28-May-24,29-Aug-24,Campbell Scientific Ltd,CR3000,,12798,PPM,TRUE
Moor House,28-May-24,,Campbell Scientific Ltd,SR50A,,7222,PPM,TRUE
Campbell Sci Ltd,28-May-24,08-Aug-24,Campbell Scientific Ltd,SR50A,,14986,PPM,TRUE
Moor House,28-May-24,,Vaisala,HMP155,A,T2650700,PPM,TRUE
Campbell Sci Ltd,28-May-24,18-Jul-24,Vaisala,HMP155,E,T4721225,PPM,TRUE
Moor House,28-May-24,,Vaisala,PTB110,,K5050002,PPM,TRUE
Campbell Sci Ltd,28-May-24,,Vaisala,PTB110,,T4650718,PPM,TRUE
Riseholme,29-May-24,,Campbell Scientific Ltd,NL115,,5299,,TRUE
Crichton,30-May-24,,Campbell Scientific Ltd,CR3000,,9505,PPM,TRUE
Campbell Sci Ltd,30-May-24,06-Aug-24,Campbell Scientific Ltd,CR3000,,9898,PPM,TRUE
Crichton,30-May-24,,Gill,Windmaster,3D Sonic Anemometer,140316,PPM,TRUE
Campbell Sci Ltd,30-May-24,,Gill,Windmaster,3D Sonic Anemometer,144206,PPM,TRUE
Crichton,30-May-24,,Vaisala,HMP155,A,V1051034,PPM,TRUE
Campbell Sci Ltd,30-May-24,09-Jul-24,Vaisala,HMP155,E,T4721228,PPM,TRUE
Wallingford,06-Jun-24,,OTT,Pluvio2,,341001,,FALSE
Tadham Moor,06-Jun-24,,OTT,Pluvio2,,342194,,FALSE
North Wyke,07-Jun-24,,OTT,Pluvio2,,342254,,FALSE
Wallingford,07-Jun-24,01-Nov-24,OTT,Pluvio2,L,451585,,FALSE
Waddesdon,19-Jun-24,01-Aug-24,Hydroinnova,CRS-2000/B,,HI-TC02-2023,,FALSE
Wallingford,19-Jun-24,,Campbell Scientific Ltd,NL115,,13623,,FALSE
Heytesbury,19-Jun-24,,Campbell Scientific Ltd,NL115,,14165,,FALSE
Wallingford,20-Jun-24,,Vaisala,PTB110,,M1050346,,FALSE
