ID,SERIAL_NUMBER,START_DATETIME,END_DATETIME,FIRMWARE,INSTRUMENT_ID
202,160912,01/01/2016,,2329 700 01,AWS_ANEM
203,160913,01/01/2016,,2329 700 01,AWS_ANEM
204,160914,01/01/2016,,2329 700 01,AWS_ANEM
205,160915,01/01/2016,,2329 700 01,AWS_ANEM
206,160916,01/01/2019,,2329 700 01,AWS_ANEM
207,180903,01/01/2016,,2329 701 01,AWS_ANEM
208,180904,01/01/2016,,2329 701 01,AWS_ANEM
209,191202,01/01/2019,,2329 701 01,AWS_ANEM
210,191203,01/01/2016,,2329 701 01,AWS_ANEM
211,191204,01/01/2019,,2329 701 01,AWS_ANEM
212,191205,01/01/2016,,2329 701 01,AWS_ANEM
213,193702,01/10/2019,,2329 701 01,AWS_ANEM
214,193703,01/10/2019,,2329 701 01,AWS_ANEM
215,193704,01/10/2019,,2329 701 01,AWS_ANEM
216,193705,01/10/2019,,2329 701 01,AWS_ANEM
217,193706,01/10/2019,,2329 701 01,AWS_ANEM
218,2164,,22/02/2017,CR3000.Std.29,LOGGER
219,2164,19/08/2020,,CR3000.Std.32.03,LOGGER
220,2164,29/11/2017,,CR3000.Std.31.03,LOGGER
221,2164,22/02/2017,29/11/2017,CR3000.Std.31,LOGGER
222,328998,19/07/2018,,1.50.0,RG
223,328999,12/02/2020,,1.50.3,RG
224,328999,11/04/2017,12/02/2020,1.40.1,RG
225,329000,18/07/2018,,1.50.0,RG
226,329001,02/08/2018,17/09/2019,1.50.0,RG
227,329001,17/09/2019,,1.50.3,RG
228,329002,20/05/2019,,1.50.3,RG
229,329003,12/04/2017,,1.40.1,RG
230,340988,10/10/2019,,1.50.3,RG
231,340988,17/08/2018,,1.50.0,RG
232,340988,,17/08/2018,1.40.1,RG
233,340989,,26/10/2018,1.40.0,RG
234,340989,26/10/2018,,1.50.0,RG
235,340990,20/09/2019,,1.50.3,RG
236,340990,12/07/2018,20/09/2019,1.50.0,RG
237,340991,30/08/2019,,1.50.3,RG
238,340991,06/07/2018,30/08/2019,1.50.0,RG
239,340991,,06/07/2018,1.30.1,RG
240,340992,,19/12/2018,1.30.0,RG
241,340992,19/12/2018,,1.50.0,RG
242,340992,03/12/2019,,1.50.3,RG
243,340993,27/04/2017,07/11/2018,1.40.1,RG
244,340993,,27/04/2017,1.30.1,RG
245,340993,07/11/2018,28/01/2020,4.50.0,RG
246,340993,28/01/2020,,1.50.3,RG
247,340994,03/09/2019,,1.50.3,RG
248,340995,03/10/2019,,1.50.3,RG
249,340995,25/04/2018,,1.50.1,RG
250,340996,20/12/2018,,1.50.0,RG
251,340996,,20/12/2018,1.40.0,RG
252,340997,,05/12/2018,1.30.0,RG
253,340997,05/12/2018,,1.50.0,RG
254,340998,,04/07/2018,1.30.0,RG
255,340998,04/07/2018,,1.50.0,RG
256,340998,10/10/2019,,1.50.3,RG
257,340999,21/08/2018,10/09/2019,1.50.0,RG
258,340999,,21/08/2018,1.3,RG
259,340999,10/09/2019,,1.50.3,RG
260,341000,13/12/2019,,1.50.3,RG
261,341000,,28/04/2017,1.30.1,RG
262,341000,28/04/2017,13/12/2019,1.40.1,RG
263,341001,22/10/2019,,1.50.3,RG
264,341001,,02/10/2018,1.40.0,RG
265,341001,02/10/2018,22/10/2019,1.50.0,RG
266,341002,,01/08/2018,,RG
267,341002,01/08/2018,12/09/2019,1.50.0,RG
268,341002,12/09/2019,,1.50.3,RG
269,342191,31/07/2019,,1.50.3,RG
270,342191,14/05/2014,31/07/2019,1.30.1,RG
271,342192,24/06/2019,,1.40.1,RG
272,342193,25/04/2017,08/11/2018,1.40.1,RG
273,342193,08/11/2018,27/11/2019,1.50.0,RG
274,342193,27/11/2019,,1.50.3,RG
275,342193,,25/04/2017,1.30.1,RG
276,342194,,16/10/2018,1.3,RG
277,342194,16/10/2018,,1.50.0,RG
278,342195,,01/11/2018,1.30.1,RG
279,342195,01/11/2018,18/09/2019,1.50.0,RG
280,342195,18/09/2019,,1.50.3,RG
281,342246,11/12/2019,,1.50.3,RG
282,342247,30/11/2015,16/11/2017,1.30.1,RG
283,342247,31/10/2019,,1.50.3,RG
284,342247,16/11/2017,31/10/2019,1.50.0,RG
285,342248,,02/08/2018,,RG
286,342248,02/08/2018,30/10/2019,1.50.0,RG
287,342248,30/10/2019,,1.50.3,RG
288,342249,04/12/2019,,1.50.3,RG
289,342249,15/08/2014,31/01/2017,1.30.1,RG
290,342249,31/01/2017,18/12/2018,1.40.1,RG
291,342249,18/12/2018,04/12/2019,1.50.0,RG
292,342250,04/12/2014,31/01/2017,1.30.1,RG
293,342250,17/11/2017,31/07/2019,1.50.0,RG
