TIMESERIES_ID,TIMESERIES_DEF,PARAMETER_ID
COSMOS-ALIC1-TAU_30MIN_PROCESSED,TAU_30MIN_PROCESSED,FLUX_MOM
COSMOS-ALIC1-TDT1_VWC_30MIN_PROCESSED,TDT1_VWC_30MIN_PROCESSED,VWC_SOIL_10
COSMOS-ALIC1-TDT1_TSOIL_30MIN_PROCESSED,TDT1_TSOIL_30MIN_PROCESSED,TEMP_SOIL_10
COSMOS-ALIC1-TDT1_SOILPERM_30MIN_PROCESSED,TDT1_SOILPERM_30MIN_PROCESSED,PERM_10
COSMOS-ALIC1-TDT1_SOILEC_30MIN_PROCESSED,TDT1_SOILEC_30MIN_PROCESSED,COND_10
COSMOS-ALIC1-TDT2_VWC_30MIN_PROCESSED,TDT2_VWC_30MIN_PROCESSED,VWC_SOIL_10
COSMOS-ALIC1-TDT2_TSOIL_30MIN_PROCESSED,TDT2_TSOIL_30MIN_PROCESSED,TEMP_SOIL_10
COSMOS-ALIC1-TDT2_SOILPERM_30MIN_PROCESSED,TDT2_SOILPERM_30MIN_PROCESSED,PERM_10
COSMOS-ALIC1-TDT2_SOILEC_30MIN_PROCESSED,TDT2_SOILEC_30MIN_PROCESSED,COND_10
COSMOS-ALIC1-WD_1DAY_PROCESSED,WD_1DAY_PROCESSED,WD
COSMOS-ALIC1-WS_1DAY_PROCESSED,WS_1DAY_PROCESSED,WS
COSMOS-ALIC1-ALBEDO_1DAY_PROCESSED,ALBEDO_1DAY_PROCESSED,ALBEDO
COSMOS-ALIC1-ALBEDO_SD_1DAY_PROCESSED,ALBEDO_SD_1DAY_PROCESSED,ALBEDO
COSMOS-ALIC1-COSMOS_VWC_1DAY_PROCESSED,COSMOS_VWC_1DAY_PROCESSED,VWC_CRNS
COSMOS-ALIC1-COSMOS_VWC_NO_SNOW_1DAY_PROCESSED,COSMOS_VWC_NO_SNOW_1DAY_PROCESSED,VWC_CRNS
COSMOS-ALIC1-CTS_EST_CRNS_1DAY_PROCESSED,CTS_EST_CRNS_1DAY_PROCESSED,CTS
COSMOS-ALIC1-CTS_MOD_CORR_1DAY_PROCESSED,CTS_MOD_CORR_1DAY_PROCESSED,CTS
COSMOS-ALIC1-D86_1MIN_1DAY_PROCESSED,D86_1MIN_1DAY_PROCESSED,EFF_DEPTH
COSMOS-ALIC1-D86_5M_1DAY_PROCESSED,D86_5M_1DAY_PROCESSED,EFF_DEPTH
COSMOS-ALIC1-D86_25M_1DAY_PROCESSED,D86_25M_1DAY_PROCESSED,EFF_DEPTH
COSMOS-ALIC1-D86_75M_1DAY_PROCESSED,D86_75M_1DAY_PROCESSED,EFF_DEPTH
COSMOS-ALIC1-D86_150M_1DAY_PROCESSED,D86_150M_1DAY_PROCESSED,EFF_DEPTH
COSMOS-ALIC1-D86_200M_1DAY_PROCESSED,D86_200M_1DAY_PROCESSED,EFF_DEPTH
COSMOS-ALIC1-EFF_DEPTH_1DAY_PROCESSED,EFF_DEPTH_1DAY_PROCESSED,EFF_DEPTH
COSMOS-ALIC1-G1_1DAY_PROCESSED,G1_1DAY_PROCESSED,HEATFLUX_SOIL
COSMOS-ALIC1-G2_1DAY_PROCESSED,G2_1DAY_PROCESSED,HEATFLUX_SOIL
COSMOS-ALIC1-LWIN_1DAY_PROCESSED,LWIN_1DAY_PROCESSED,LWIN
COSMOS-ALIC1-LWOUT_1DAY_PROCESSED,LWOUT_1DAY_PROCESSED,LWOUT
COSMOS-ALIC1-MSLP_1DAY_PROCESSED,MSLP_1DAY_PROCESSED,PA
COSMOS-ALIC1-PA_1DAY_PROCESSED,PA_1DAY_PROCESSED,PA
COSMOS-ALIC1-PE_1DAY_PROCESSED,PE_1DAY_PROCESSED,PE
COSMOS-ALIC1-PRECIP_1DAY_PROCESSED,PRECIP_1DAY_PROCESSED,PRECIPITATION
COSMOS-ALIC1-PRECIP_RAINE_1DAY_PROCESSED,PRECIP_RAINE_1DAY_PROCESSED,PRECIPITATION
COSMOS-ALIC1-PRECIP_TIPPING_1DAY_PROCESSED,PRECIP_TIPPING_1DAY_PROCESSED,PRECIPITATION
COSMOS-ALIC1-Q_1DAY_PROCESSED,Q_1DAY_PROCESSED,Q
COSMOS-ALIC1-RH_1DAY_PROCESSED,RH_1DAY_PROCESSED,RH
COSMOS-ALIC1-RN_1DAY_PROCESSED,RN_1DAY_PROCESSED,RN
COSMOS-ALIC1-SIGMA_SWE_CRNS_1DAY_PROCESSED,SIGMA_SWE_CRNS_1DAY_PROCESSED,UNCERTAINTY
COSMOS-ALIC1-SMI_1DAY_PROCESSED,SMI_1DAY_PROCESSED,SMI
COSMOS-ALIC1-SNOW_1DAY_PROCESSED,SNOW_1DAY_PROCESSED,SNOW_DAY
COSMOS-ALIC1-SNOWD_DISTANCE_COR_1DAY_PROCESSED,SNOWD_DISTANCE_COR_1DAY_PROCESSED,SNOWD_DISTANCE_COR
COSMOS-ALIC1-STP_TSOIL2_1DAY_PROCESSED,STP_TSOIL2_1DAY_PROCESSED,TEMP_SOIL_2
COSMOS-ALIC1-STP_TSOIL5_1DAY_PROCESSED,STP_TSOIL5_1DAY_PROCESSED,TEMP_SOIL_5
COSMOS-ALIC1-STP_TSOIL10_1DAY_PROCESSED,STP_TSOIL10_1DAY_PROCESSED,TEMP_SOIL_10
COSMOS-ALIC1-STP_TSOIL20_1DAY_PROCESSED,STP_TSOIL20_1DAY_PROCESSED,TEMP_SOIL_20
COSMOS-ALIC1-STP_TSOIL50_1DAY_PROCESSED,STP_TSOIL50_1DAY_PROCESSED,TEMP_SOIL_50
COSMOS-ALIC1-SWE_CRNS_1DAY_PROCESSED,SWE_CRNS_1DAY_PROCESSED,SWE
COSMOS-ALIC1-SWIN_1DAY_PROCESSED,SWIN_1DAY_PROCESSED,SWIN
COSMOS-ALIC1-SWOUT_1DAY_PROCESSED,SWOUT_1DAY_PROCESSED,SWOUT
COSMOS-ALIC1-TA_1DAY_PROCESSED,TA_1DAY_PROCESSED,TEMP_AIR
COSMOS-ALIC1-TA_MAX_1DAY_PROCESSED,TA_MAX_1DAY_PROCESSED,TEMP_AIR
COSMOS-ALIC1-TA_MIN_1DAY_PROCESSED,TA_MIN_1DAY_PROCESSED,TEMP_AIR
COSMOS-ALIC1-TDT1_TSOIL_1DAY_PROCESSED,TDT1_TSOIL_1DAY_PROCESSED,TEMP_SOIL_10
COSMOS-ALIC1-TDT2_TSOIL_1DAY_PROCESSED,TDT2_TSOIL_1DAY_PROCESSED,TEMP_SOIL_10
COSMOS-ALIC1-TDT1_VWC_1DAY_PROCESSED,TDT1_VWC_1DAY_PROCESSED,VWC_SOIL_10
COSMOS-ALIC1-TDT2_VWC_1DAY_PROCESSED,TDT2_VWC_1DAY_PROCESSED,VWC_SOIL_10
COSMOS-ALIC1-CTS_EST_CRNS_1HOUR_PROCESSED,CTS_EST_CRNS_1HOUR_PROCESSED,CTS
COSMOS-ALIC1-SWE_CRNS_1HOUR_PROCESSED,SWE_CRNS_1HOUR_PROCESSED,SWE
COSMOS-ALIC1-SIGMA_SWE_CRNS_1HOUR_PROCESSED,SIGMA_SWE_CRNS_1HOUR_PROCESSED,UNCERTAINTY
COSMOS-ALIC1-EFF_DEPTH_1HOUR_PROCESSED,EFF_DEPTH_1HOUR_PROCESSED,EFF_DEPTH
