TIMESERIES_ID,PRIORITY,START_DATETIME,END_DATETIME,METHOD,WINDOW,MAX_GAP_SIZE
COSMOS-BUNNY-LWIN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-LWOUT_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-TNR01C_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-PROFILE_VWC15_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-PROFILE_SOILEC15_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-PROFILE_VWC40_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-PROFILE_SOILEC40_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-PROFILE_VWC65_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-PROFILE_SOILEC65_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-STP_TSOIL50_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-STP_TSOIL20_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-STP_TSOIL10_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-STP_TSOIL5_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-STP_TSOIL2_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-G1_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-G2_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-HS_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-TAU_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-U_STAR_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-TS_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BUNNY-COSMOS_VWC_1DAY_PROCESSED,1,2013-01-01T00:30:00,,linear_linear,1,8
COSMOS-BUNNY-COSMOS_VWC_NO_SNOW_1DAY_PROCESSED,1,2013-01-01T00:30:00,,linear_linear,1,8
COSMOS-CARDT-RHO_A_MEAN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-E_SAT_MEAN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TDT1_VWC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TDT1_TSOIL_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TDT1_SOILPERM_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TDT1_SOILEC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TDT2_VWC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TDT2_TSOIL_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TDT2_SOILPERM_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TDT2_SOILEC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-WD_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,4
COSMOS-CARDT-WS_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-PA_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,10
COSMOS-CARDT-RH_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TA_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,10
COSMOS-CARDT-SWIN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-SWOUT_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-LWIN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-LWOUT_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TNR01C_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-PROFILE_VWC15_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-PROFILE_SOILEC15_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-PROFILE_VWC40_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-PROFILE_SOILEC40_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-PROFILE_VWC65_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-PROFILE_SOILEC65_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-STP_TSOIL50_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-STP_TSOIL20_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-STP_TSOIL10_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-STP_TSOIL5_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-STP_TSOIL2_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-G1_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-G2_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-HS_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TAU_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-U_STAR_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-TS_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CARDT-COSMOS_VWC_1DAY_PROCESSED,1,2013-01-01T00:30:00,,linear_linear,1,8
COSMOS-CARDT-COSMOS_VWC_NO_SNOW_1DAY_PROCESSED,1,2013-01-01T00:30:00,,linear_linear,1,8
COSMOS-CGARW-RHO_A_MEAN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CGARW-E_SAT_MEAN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CGARW-TDT1_VWC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CGARW-TDT1_TSOIL_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CGARW-TDT1_SOILPERM_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CGARW-TDT1_SOILEC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CGARW-TDT2_VWC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CGARW-TDT2_TSOIL_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-CGARW-TDT2_SOILPERM_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
