VARIABLE_NAME,DESCRIPTION,PROPERTY,QUDT_QUANTITY_KIND,PROPERTY_NAME,OBJECT,CONTEXT,DOMAIN,UNIT,QUDT_UNIT,UNIT_NAME
TDT3_TSOIL,Soil temperature 3,TSOIL,Temperature,Soil Temperature,soil,TDT 3,lithosphere,DEGC,DEG_C,degree celsius
TDT3_VWC,Soil moisture content 3,VWC,,Moisture content,soil,TDT 3,lithosphere,PCT,PERCENT,percent
TDT4_SOILEC,Soil Electrical conductivity 4,COND,Conductivity,Electrical conductivity,soil,TDT 4,lithosphere,PCT,PERCENT,percent
TDT4_SOILPERM,Soil bulk relative permittivity 4,PERM,PermittivityRatio,Relative permittivity,soil,TDT 4,lithosphere,UNITLESS,UNITLESS,
TDT4_TSOIL,Soil temperature 4,TSOIL,Temperature,Soil Temperature,soil,TDT 4,lithosphere,DEGC,DEG_C,degree celsius
TDT4_VWC,Soil moisture content 4,VWC,,Moisture content,soil,TDT 4,lithosphere,PCT,PERCENT,percent
TDT5_SOILEC,Soil Electrical conductivity 5,COND,Conductivity,Electrical conductivity,soil,TDT 5,lithosphere,PCT,PERCENT,percent
TDT5_SOILPERM,Soil bulk relative permittivity 5,PERM,PermittivityRatio,Relative permittivity,soil,TDT 5,lithosphere,UNITLESS,UNITLESS,
TDT5_TSOIL,Soil temperature 5,TSOIL,Temperature,Soil Temperature,soil,TDT 5,lithosphere,DEGC,DEG_C,degree celsius
TDT5_VWC,Soil moisture content 5,VWC,,Moisture content,soil,TDT 5,lithosphere,PCT,PERCENT,percent
TDT6_SOILEC,Soil Electrical conductivity 6,COND,Conductivity,Electrical conductivity,soil,TDT 6,lithosphere,PCT,PERCENT,percent
TDT6_SOILPERM,Soil bulk relative permittivity 6,PERM,PermittivityRatio,Relative permittivity,soil,TDT 6,lithosphere,UNITLESS,UNITLESS,
TDT6_TSOIL,Soil temperature 6,TSOIL,Temperature,Soil Temperature,soil,TDT 6,lithosphere,DEGC,DEG_C,degree celsius
TDT6_VWC,Soil moisture content 6,VWC,,Moisture content,soil,TDT 6,lithosphere,PCT,PERCENT,percent
