SITE_ID,START_DATETIME,END_DATETIME,REF_SOIL_MOISTURE,REF_BULKDENSITY,REF_LATTICEWATER,REF_Q0,REF_C0,REF_CTS_MOD_CORR,REF_CTS_MOD2_CORR,REF_CTS_BARE_CORR,REF_CTS_SNOW_CORR,N0_MOD,N0_MOD2,N0_BARE,N0_SNOW,COSMOS_FACTOR_PROBE_MOD,COSMOS_FACTOR_PROBE_MOD2,COSMOS_FACTOR_PROBE_BARE,COSMOS_FACTOR_PROBE_SNOW,THETA_MIN,THETA_MAX,THETA_MIN_DATE,THETA_MAX_DATE,REF_SOC,CALIBRATION_COMMENT,PROBE_EFFDEPTH,N_MIN,METHOD,SOIL_COMMENT,N_MAX,L,ACTIVE,REF_BULKDENSITY_STD,REF_LATTICEWATER_STD,REF_SOC_STD
HOLLN,2014-06-25 00:00:00,2014-06-26 00:00:00,0.364,1.06,0.025,8.27,152.035,1438.749,,,,2720.922,,,,1,1,1,1,,,,,0.032,,,1209.288,2,Typical mineral soil,2290.384,,0,,,
HYBRY,2018-02-22 00:00:00,2018-02-23 00:00:00,0.411,0.78,0.006,4.027,165.21488,1557.105,,,,3205.8289,,,,1,1,1,1,,,,,0.066,radial and vertical weighted mean from 0-25 cm data,27.4 (1 m radius) to 19.6 cm (200 m radius)?,1368.8937,2,Highly calcareous mineral soil with high soil organic carbon,2577.76073,136.723,1,,,
LIZRD,2014-11-04 00:00:00,2014-11-05 00:00:00,0.568,0.78,0.014,7.179,148.76079,1218.882,,,,2663.86113,,,,1,1,1,1,,,,,0.058,,probe effective depth varies from 21.1 (1 m radius) to 15.7 cm (200 m radius) on calibration day),1137.47265,2,Mineral soil with high soil organic carbon; bulk density is notably lower towards the surface (0-10/15 cm),2141.97227,137.099,1,,,
ALIC1,2015-08-04 00:00:00,2015-08-05 00:00:00,0.266,0.84,0.025,9.484,156.89971,1224.021,,,,2292.03691,,,,1,1,1,1,,,,,0.042,,probe effective depth varies from 33.3 (1 m radius) to 23.1 cm (200 m radius) on calibration day),987.574,3,Typical mineral soil; lower bulk density may be due to higher clay and/or organic content or macropores from tree roots,1870.201,136.979,0,,,
BALRD,2014-07-29 00:00:00,2014-07-30 00:00:00,0.254,1.35,0.018,10.212,155.98108,1809.405,,,,2981.96664,,,,1,1,1,1,,,,,0.023,,probe effective depth varies from 21.0 (1 m radius) to 14.5 cm (200 m radius) on calibration day),1377.979,3,Typical mineral soil,2653.797,137.03,0,0.14,0.00066,0.00076
BICKL,2015-02-24 00:00:00,2015-02-25 00:00:00,0.412,1.25,0.01,5.154,152.09238,1538.704,,,,2837.63504,,,,1,1,1,1,,,,,0.02,,probe effective depth varies from 18.4 (1 m radius) to 13.1 cm (200 m radius) on calibration day),1298.226,3,Typical mineral soil,2636.848,137.008,0,0.23,0.00042,0.0036
BUNNY,2015-02-25 00:00:00,2015-02-26 00:00:00,0.283,1.53,0.008,6.514,152.375,1801.341,,,,2898.80695,,,,1,1,1,1,,,,,0.016,,probe effective depth varies from 18.3 (1 m radius) to 12.6 cm (200 m radius) on calibration day),1373.871,3,Typical mineral soil with high bulk density,2763.418,137.172,0,0.11,0.0012,0.0015
CARDT,2015-08-18 00:00:00,2015-08-19 00:00:00,0.141,1.1,0.016,8.94,154.5975,1793.594,,,,2793.45597,,,,1,1,1,1,,,,,0.04,,probe effective depth varies from 31.3 (1 m radius) to 20.8 cm (200 m radius) on calibration day),1248.14,3,Typical mineral soil,2359.114,137.25,0,0.17,0.0018,0.0052
CGARW,2018-09-28 00:00:00,2018-09-29 00:00:00,0.417,0.79,0.022,7.246,166.08763,1535.81,,,,3164.3465,,,,1,1,1,1,,,,,0.048,radial and vertical weighted mean from 0-25 cm data,23.4 (1 m radius) to 17.0 cm (200 m radius),1353.367,3,Typical mineral soil,2559.187,136.25,0,0.26,0.00086,0.0015
CHIMN,2013-11-13 00:00:00,2013-11-15 00:00:00,0.393,1.32,0.011,6.004,155.71638,888.586,,,,1611.90104,,,,1,1,1,1,,,,,0.027,,,742.659,3,Calcareous mineral soil (around 20% calcium carbote),1450.879,137.12,0,0.095,0.0018,0.0016
CHOBH,2015-03-12 00:00:00,2015-03-13 00:00:00,0.566,0.73,0.003,5.04,150.10542,1243.319,,,,2706.31744,,,,1,1,1,1,,,,,0.031,,probe effective depth varies from 23.5 (1 m radius) to 17.3 cm (200 m radius) on calibration day),1150.72,3,"Highly variable soil, with a mix of organic soil/material of variable thickness overlying mineral soil; low lattice and bound water",2474.337,137.233,0,0.37,0.0011,0.0084
COCHN,2017-10-18 00:00:00,2017-10-19 00:00:00,0.524,0.76,0.019,8.13,163.94808,1442.982,,,,3119.04173,,,,1,1,1,1,,,,,0.068,radial and vertical weighted mean from 0-25 cm data,24.5 (1 m radius) to 18.2 cm (200 m radius),1326.327,3,Mineral soil with high soil organic carbon,2407.9,136.674,0,0.21,0.0018,0.014
