"MASK_FILENAME","START_DATETIME","END_DATETIME"
"HARTW_LAND1_MASK_1600_4.dat",23-04-2021 06:45,23-04-2021 14:55
"HARTW_LAND1_MASK_2560_1.dat",20-05-2014 10:30,17-09-2015 09:50
"HARTW_LAND1_MASK_4096_1.dat",20-05-2014 10:30,17-09-2015 09:50
"HARTW_LAND1_MASK_4096_5.dat",24-08-2021 15:05,
"HENFS_LAND2_MASK_1600_1.dat",22-12-2015 14:40,12-09-2018 09:45
"HENFS_LAND2_MASK_1600_2.dat",12-09-2018 10:35,18-09-2019 07:45
"HENFS_LAND2_MASK_1600_3.dat",18-09-2019 13:40,20-10-2020 09:25
"HENFS_LAND2_MASK_1600_4.dat",20-10-2020 11:40,
"HENFS_LAND2_MASK_5184_4.dat",20-10-2020 11:40,
"SOURH_LAND1_MASK_1600_1.dat",19-11-2014 11:00,31-01-2018 12:55
"SOURH_LAND1_MASK_1600_2.dat",01-02-2018 10:30,16-10-2018 10:15
"SOURH_LAND1_MASK_1600_3.dat",16-10-2018 12:30,
"SOURH_LAND1_MASK_2560_1.dat",19-11-2014 11:00,31-01-2018 12:55
"SOURH_LAND1_MASK_4096_1.dat",19-11-2014 11:00,31-01-2018 12:55
"SOURH_LAND2_MASK_1600_1.dat",19-11-2014 11:00,31-01-2018 12:55
"SOURH_LAND2_MASK_1600_2.dat",01-02-2018 10:30,16-10-2018 10:15
"SOURH_LAND2_MASK_1600_3.dat",16-10-2018 12:30,
"SOURH_LAND2_MASK_2560_1.dat",19-11-2014 11:00,31-01-2018 12:55
"SOURH_LAND2_MASK_4096_1.dat",19-11-2014 11:00,31-01-2018 12:55
"SPENF_LAND1_MASK_1600_1.dat",28-11-2016 11:45,
"SPENF_LAND1_MASK_2560_1.dat",28-11-2016 11:45,
"SPENF_LAND1_MASK_5184_1.dat",28-11-2016 11:45,
"STGHT_LAND1_MASK_1600_1.dat",19-08-2015 06:30,22-08-2018 13:50
"STGHT_LAND1_MASK_1600_2.dat",23-08-2018 10:15,10-04-2019 17:50
"STGHT_LAND1_MASK_1600_3.dat",01-05-2019 16:25,21-07-2020 12:45
"STGHT_LAND1_MASK_1600_4.dat",21-07-2020 14:10,15-04-2021 08:50
"STGHT_LAND1_MASK_2560_1.dat",19-08-2015 06:30,22-08-2018 13:50
"STGHT_LAND1_MASK_4096_1.dat",19-08-2015 06:30,22-08-2018 13:50
"STGHT_LAND1_MASK_4096_5.dat",15-04-2021 10:35,
"STGHT_LAND2_MASK_1600_1.dat",19-08-2015 06:30,22-08-2018 13:50
"STGHT_LAND2_MASK_1600_2.dat",23-08-2018 10:15,10-04-2019 17:50
"STGHT_LAND2_MASK_1600_3.dat",01-05-2019 16:25,21-07-2020 12:45
"STGHT_LAND2_MASK_1600_4.dat",21-07-2020 14:10,15-04-2021 08:50
"STGHT_LAND2_MASK_2560_1.dat",19-08-2015 06:30,22-08-2018 13:50
"STGHT_LAND2_MASK_4096_1.dat",19-08-2015 06:30,22-08-2018 13:50
"STGHT_LAND2_MASK_4096_5.dat",15-04-2021 10:35,
"STIPS_LAND1_MASK_1600_1.dat",06-11-2014 15:00,08-01-2018 10:50
"STIPS_LAND1_MASK_1600_2.dat",12-07-2018 12:40,11-09-2018 07:50
"STIPS_LAND1_MASK_1600_3.dat",11-09-2018 09:05,31-01-2023 15:00
"STIPS_LAND1_MASK_2560_1.dat",06-11-2014 15:00,08-01-2018 10:50
"STIPS_LAND1_MASK_2560_3.dat",11-09-2018 09:05,31-01-2023 15:00
"STIPS_LAND1_MASK_4096_1.dat",06-11-2014 15:00,08-01-2018 10:50
"STIPS_LAND1_MASK_4096_3.dat",11-09-2018 09:05,31-01-2023 15:00
"STIPS_LAND1_MASK_4096_5.dat",31-01-2023 00:00,
"SYDLG_LAND1_MASK_1600_2.dat",25-08-2020 10:45,
"SYDLG_LAND1_MASK_2560_1.dat",28-11-2018 12:20,25-08-2020 08:45
"SYDLG_LAND1_MASK_2560_2.dat",25-08-2020 10:45,
