StartDate,EndDate,tblConfig_ConfigID,TypeOfAssetID,Firmware Version,Comms Type,SpecialSettings,Config File,ConfigProcedure,CommentID,ConfigDateID,AssetID,tblConfigDates_ConfigID,TypeID,Instrument_ID,Manufacturer,Model,Version,CalInterval,ServiceInterval,CalType,ServiceType,ImagePath,Attachments
23/10/2018,20/11/2019,101,153,1.50.0,SDI-12,,107,,0,638,1629,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
24/10/2018,,101,153,1.50.0,SDI-12,,107,,0,629,1134,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
24/10/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,988,884,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
25/10/2018,,101,153,1.50.0,SDI-12,,107,,0,631,1630,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
26/10/2018,,101,153,1.50.0,SDI-12,,107,,0,645,1102,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
28/10/2018,21/07/2021,123,51,4.7.2.21,TCPIP,,129,,0,822,2040,123,51,PHENOCAM,Mobotix,S14D,,,,None,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0033.JPG,31
01/11/2018,18/09/2019,101,153,1.50.0,SDI-12,,107,,0,656,1120,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
01/11/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,969,882,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
08/11/2018,27/11/2019,101,153,1.50.0,SDI-12,,107,,0,654,1118,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
15/11/2018,10/10/2019,101,153,1.50.0,SDI-12,,107,,0,636,1641,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
16/11/2018,15/01/2019,132,150,CR3000.Std.31.03,Logger,,138,,0,995,892,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
28/11/2018,26/05/2021,123,51,4.7.2.21,TCPIP,,129,,0,821,2008,123,51,PHENOCAM,Mobotix,S14D,,,,None,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0033.JPG,31
28/11/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,997,903,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
05/12/2018,,101,153,1.50.0,SDI-12,,107,,0,649,1110,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
05/12/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,1009,854,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
18/12/2018,04/12/2019,101,153,1.50.0,SDI-12,,107,,0,658,1124,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
18/12/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,1002,855,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
19/12/2018,,101,153,1.50.0,SDI-12,,107,,0,659,1105,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
20/12/2018,,101,153,1.50.0,SDI-12,,107,,0,641,1109,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
20/12/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,984,862,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
01/01/2019,,110,23,2329 700 01,RS232,,116,,0,751,1079,110,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
01/01/2019,,112,23,2329 701 01,RS232,,118,,0,780,1082,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
01/01/2019,,112,23,2329 701 01,RS232,,118,,0,782,1084,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
01/01/2019,,112,23,2329 701 01,RS232,,118,,0,796,1045,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
15/01/2019,,133,150,CR3000.Std.32.03,Logger,,139,,0,1014,892,133,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
28/01/2019,,133,150,CR3000.Std.32.03,Logger,,139,,0,1013,919,133,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
21/03/2019,28/01/2020,132,150,CR3000.Std.31.03,Logger,,138,,0,987,919,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
30/03/2019,,112,23,2329 701 01,RS232,,118,,0,768,1057,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
30/03/2019,,112,23,2329 701 01,RS232,,118,,0,790,1032,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
30/03/2019,,112,23,2329 701 01,RS232,,118,,0,802,13,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
20/05/2019,,91,153,1.50.3,,,97,,0,511,1098,91,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
20/05/2019,,103,153,1.50.3,SDI-12,,109,,0,671,1098,103,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
11/06/2019,,91,153,1.50.3,,,97,,0,513,1638,91,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
11/06/2019,,103,153,1.50.3,SDI-12,,109,,0,673,1638,103,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
11/06/2019,,133,150,CR3000.Std.32.03,Logger,,139,,0,1016,874,133,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
24/06/2019,,100,153,1.40.1,SDI-12,,106,,0,620,1117,100,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
25/07/2019,,91,153,1.50.3,,,97,,0,547,1127,91,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
25/07/2019,,103,153,1.50.3,SDI-12,,109,,0,707,1127,103,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
31/07/2019,,91,153,1.50.3,,,97,,0,529,1116,91,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
31/07/2019,,103,153,1.50.3,SDI-12,,109,,0,689,1116,103,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
01/08/2019,,101,153,1.50.0,SDI-12,,107,,0,637,1642,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
09/08/2019,,112,23,2329 701 01,RS232,,118,,0,770,1059,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
09/08/2019,,112,23,2329 701 01,RS232,,118,,0,789,1047,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
09/08/2019,,112,23,2329 701 01,RS232,,118,,0,791,540,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
09/08/2019,,112,23,2329 701 01,RS232,,118,,0,798,1048,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
09/08/2019,,112,23,2329 701 01,RS232,,118,,0,799,1049,112,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
12/08/2019,,91,153,1.50.3,,,97,,0,512,1636,91,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
12/08/2019,,103,153,1.50.3,SDI-12,,109,,0,672,1636,103,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
13/08/2019,,91,153,1.50.3,,,97,,0,518,1639,91,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
