TIMESERIES_DEF,TIMESERIES_NAME,PARAMETER_ID,PROCESS_LEVEL,RESOLUTION,PERIODICITY,UNIT_ID,STATISTIC_ID
TDT_TSOIL_10_30MIN_RAW,Soil temperature at 10cm depth,TEMP_SOIL_10,RAW,PT30M,PT30M,DEGC,INST
TDT_TSOIL_15_30MIN_RAW,Soil temperature at 15cm depth,TEMP_SOIL_15,RAW,PT30M,PT30M,DEGC,INST
TDT_TSOIL_25_30MIN_RAW,Soil temperature at 25cm depth,TEMP_SOIL_25,RAW,PT30M,PT30M,DEGC,INST
TDT_TSOIL_50_30MIN_RAW,Soil temperature at 50cm depth,TEMP_SOIL_50,RAW,PT30M,PT30M,DEGC,INST
TDT_VWC_5_30MIN_RAW,Soil moisture content at 5cm depth,VWC_SOIL_5,RAW,PT30M,PT30M,PCT,INST
TDT_VWC_10_30MIN_RAW,Soil moisture content at 10cm depth,VWC_SOIL_10,RAW,PT30M,PT30M,PCT,INST
TDT_VWC_15_30MIN_RAW,Soil moisture content at 15cm depth,VWC_SOIL_15,RAW,PT30M,PT30M,PCT,INST
TDT_VWC_25_30MIN_RAW,Soil moisture content at 25cm depth,VWC_SOIL_25,RAW,PT30M,PT30M,PCT,INST
TDT_VWC_50_30MIN_RAW,Soil moisture content at 50cm depth,VWC_SOIL_50,RAW,PT30M,PT30M,PCT,INST
TNR01C_30MIN_RAW,Radiometer body temperature,TEMP_RADIOMETER,RAW,PT30M,PT30M,DEGC,MEAN_PREC
TNR01C_STD_30MIN_RAW,Radiometer body temperature,TEMP_RADIOMETER,RAW,PT30M,PT30M,DEGC,STDDEV_PREC
TS_30MIN_RAW,Sonic temperature,TEMP_SONIC,RAW,PT30M,PT30M,DEGC,INST
U_STAR_30MIN_RAW,Friction velocity,FRICTIONV,RAW,PT30M,PT30M,MS-1,INST
UX_30MIN_RAW,X component of wind speed,WS,RAW,PT30M,PT30M,MS-1,MEAN_PREC
UZ_30MIN_RAW,Z component of wind speed,WS,RAW,PT30M,PT30M,MS-1,MEAN_PREC
UY_30MIN_RAW,Y component of wind speed,WS,RAW,PT30M,PT30M,MS-1,MEAN_PREC
WD_30MIN_RAW,Wind direction,WD,RAW,PT30M,PT30M,DEG,MEAN_PREC
WD_STD_30MIN_RAW,Wind direction,WD,RAW,PT30M,PT30M,DEG,STDDEV_PREC
WM_NAN_COUNT_30MIN_RAW,Counter for NaNs in raw Windmaster data,COUNT,RAW,PT30M,PT30M,CTS,TOTAL_PREC
WS_30MIN_RAW,Wind speed,WS,RAW,PT30M,PT30M,MS-1,MEAN_PREC
WS_RES_30MIN_RAW,Resultant wind speed,WS,RAW,PT30M,PT30M,MS-1,INST
WS_STD_30MIN_RAW,Wind speed,WS,RAW,PT30M,PT30M,MS-1,STDDEV_PREC
NMDB_COUNTS_1HOUR_RAW,Background neutron counts,CTS,RAW,PT1H,PT1H,CTS,TOTAL_PREC
ALBEDO_30MIN_PROCESSED,Albedo value,ALBEDO,PROCESSED,PT30M,PT30M,UNITLESS,MEAN_PREC
COV_TS_UX_30MIN_PROCESSED,Covariance between sonic temperature and UX wind speed component,WS,PROCESSED,PT30M,PT30M,MS-1,INST
COV_TS_UY_30MIN_PROCESSED,Covariance between sonic temperature and UY wind speed component,WS,PROCESSED,PT30M,PT30M,MS-1,INST
COV_TS_UZ_30MIN_PROCESSED,Covariance between sonic temperature and UZ wind speed component,WS,PROCESSED,PT30M,PT30M,MS-1,INST
COV_UX_UY_30MIN_PROCESSED,Covariance of wind speed components UX and UY,WS,PROCESSED,PT30M,PT30M,MS-1,INST
